name,state,county,employment_female_computer_engineering_and_science_occupations,employment_male_computer_engineering_and_science_occupations
Anderson,48,1,44,210
Andrews,48,3,17,195
Angelina,48,5,180,595
Aransas,48,7,137,203
Archer,48,9,24,63
Armstrong,48,11,6,12
Atascosa,48,13,59,399
Austin,48,15,83,362
Bailey,48,17,0,18
Bandera,48,19,75,248
Bastrop,48,21,299,1008
Baylor,48,23,4,0
Bee,48,25,3,162
Bell,48,27,1300,3103
Bexar,48,29,9653,28263
Blanco,48,31,26,182
Borden,48,33,0,2
Bosque,48,35,14,139
Bowie,48,37,245,572
Brazoria,48,39,2433,9481
Brazos,48,41,1387,4244
Brewster,48,43,23,110
Briscoe,48,45,0,3
Brooks,48,47,0,25
Brown,48,49,42,149
Burleson,48,51,27,129
Burnet,48,53,67,373
Caldwell,48,55,60,349
Calhoun,48,57,70,364
Callahan,48,59,17,44
Cameron,48,61,332,1972
Camp,48,63,45,34
Carson,48,65,27,42
Cass,48,67,67,140
Castro,48,69,29,37
Chambers,48,71,142,694
Cherokee,48,73,45,421
Childress,48,75,0,64
Clay,48,77,43,39
Cochran,48,79,0,4
Coke,48,81,4,63
Coleman,48,83,23,49
Collin,48,85,11073,38004
Collingsworth,48,87,31,3
Colorado,48,89,36,180
Comal,48,91,436,1858
Comanche,48,93,6,55
Concho,48,95,3,12
Cooke,48,97,92,451
Coryell,48,99,156,529
Cottle,48,101,0,32
Crane,48,103,0,23
Crockett,48,105,0,0
Crosby,48,107,11,22
Culberson,48,109,0,0
Dallam,48,111,49,59
Dallas,48,113,14093,44650
Dawson,48,115,0,4
DeafSmith,48,117,71,114
Delta,48,119,34,44
Denton,48,121,6423,20237
DeWitt,48,123,19,118
Dickens,48,125,0,11
Dimmit,48,127,33,9
Donley,48,129,0,17
Duval,48,131,25,132
Eastland,48,133,11,73
Ector,48,135,224,1097
Edwards,48,137,0,8
Ellis,48,139,527,1920
ElPaso,48,141,2166,7432
Erath,48,143,76,339
Falls,48,145,53,28
Fannin,48,147,71,323
Fayette,48,149,31,144
Fisher,48,151,0,51
Floyd,48,153,13,14
Foard,48,155,5,0
FortBend,48,157,6775,22693
Franklin,48,159,8,45
Freestone,48,161,39,103
Frio,48,163,0,0
Gaines,48,165,65,161
Galveston,48,167,2259,6822
Garza,48,169,0,7
Gillespie,48,171,57,360
Glasscock,48,173,0,6
Goliad,48,175,14,79
Gonzales,48,177,34,81
Gray,48,179,49,254
Grayson,48,181,412,1413
Gregg,48,183,285,1438
Grimes,48,185,7,116
Guadalupe,48,187,504,2487
Hale,48,189,33,136
Hall,48,191,4,0
Hamilton,48,193,9,25
Hansford,48,195,10,15
Hardeman,48,197,0,0
Hardin,48,199,88,607
Harris,48,201,28789,95178
Harrison,48,203,160,636
Hartley,48,205,31,60
Haskell,48,207,24,5
Hays,48,209,1071,3201
Hemphill,48,211,0,23
Henderson,48,213,176,547
Hidalgo,48,215,1053,3525
Hill,48,217,64,149
Hockley,48,219,36,175
Hood,48,221,223,832
Hopkins,48,223,67,133
Houston,48,225,21,72
Howard,48,227,37,116
Hudspeth,48,229,0,16
Hunt,48,231,286,1532
Hutchinson,48,233,28,278
Irion,48,235,0,26
Jack,48,237,7,37
Jackson,48,239,42,106
Jasper,48,241,51,139
